filename,force_N,mean_depth_mm,max_depth_mm,sum_depth_mm
.5N_WIN_20250811_16_30_13_Pro.jpg,5.0,0.019398661330342293,0.9024096131324768,1299.2059326171875
1.5N_WIN_20250811_16_31_30_Pro.jpg,1.5,0.040941543877124786,0.7617221474647522,2222.962158203125
10N_WIN_20250811_16_40_36_Pro.jpg,10.0,0.1891956627368927,0.8157008290290833,4279.2275390625
11N_WIN_20250811_16_40_59_Pro.jpg,11.0,0.18324792385101318,0.8183333277702332,4660.54443359375
12N_WIN_20250811_16_41_23_Pro.jpg,12.0,0.19282974302768707,0.8262079358100891,4137.5478515625
13N_WIN_20250811_16_58_00_Pro.jpg,13.0,0.2010549157857895,0.8952776789665222,3485.68896484375
15N_WIN_20250811_16_58_52_Pro.jpg,15.0,0.19632592797279358,0.878412127494812,5156.30419921875
17N_WIN_20250811_17_00_54_Pro.jpg,17.0,0.19564396142959595,0.9111926555633545,3741.4951171875
19N_WIN_20250811_17_01_48_Pro.jpg,19.0,0.22989891469478607,0.8749633431434631,4688.55859375
20N_WIN_20250811_17_29_53_Pro.jpg,20.0,0.18786577880382538,0.9035926461219788,6384.994140625
2N_WIN_20250811_16_31_59_Pro.jpg,2.0,0.09899555891752243,0.8214661478996277,3959.0302734375
3.5N_WIN_20250811_16_34_39_Pro.jpg,3.5,0.18646544218063354,0.8862042427062988,6400.79931640625
3N_WIN_20250811_16_32_21_Pro.jpg,3.0,0.05777678266167641,0.7888223528862,2864.457275390625
4.5N_WIN_20250811_16_36_36_Pro.jpg,4.5,0.1499747484922409,0.8515492081642151,3649.33544921875
5.5N_WIN_20250811_16_36_59_Pro.jpg,5.5,0.17672988772392273,0.8385522961616516,6730.5810546875
6N_WIN_20250811_16_37_26_Pro.jpg,6.0,0.19416648149490356,0.8264129161834717,4292.4384765625
7N_WIN_20250811_16_38_07_Pro.jpg,7.0,0.1985529661178589,0.9051138758659363,4569.498046875
8N_WIN_20250811_16_38_42_Pro.jpg,8.0,0.18920129537582397,0.8296308517456055,3033.275146484375
9N_WIN_20250811_16_40_13_Pro.jpg,9.0,0.2039446383714676,0.8147878050804138,3877.599365234375
